#Metacyc pathway and RXN mapping file
#Pathway	RXN
FASYN-INITIAL-PWY	MALONYL-COA-ACP-TRANSACYL-RXN
FASYN-INITIAL-PWY	ACP-S-ACETYLTRANSFER-RXN
FASYN-INITIAL-PWY	3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-4381	MALONYL-COA-ACP-TRANSACYL-RXN
PWY-4381	RXN0-5055
PWY-4381	2.3.1.180-RXN
PWY-5486	RXN-6161
PWY-5486	ALCOHOL-DEHYDROG-RXN
PWY-5080	RXN-7711
PWY-5080	RXN-11750
PWY-5080	RXN-7698
PWY-5080	RXN-7697
PWY-7395	TAGAALDOL-RXN
PWY-7395	TAGAKIN-RXN
PWY-7395	RXN-13548
PWY-7395	3.5.1.80-RXN
PWY-7077	TAGAALDOL-RXN
PWY-7077	RXN-13548
PWY-7077	TAGAKIN-RXN
PWY-7077	3.5.1.80-RXN
PWY-7077	RXN-13547
PWY-2661	3.2.1.141-RXN
PWY-2661	5.4.99.15-RXN
PWY-2661	RXN-4301
PWY-5965	MALONYL-ACPDECARBOX-RXN
PWY-5965	3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-5966	3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-5966	ACP-S-ACETYLTRANSFER-RXN
RIBOKIN-PWY	RXN0-5304
RIBOKIN-PWY	RIBOKIN-RXN
PWY-881	TREHALOSEPHOSPHA-RXN
PWY-881	RXN-761
PWY-6113	2.3.1.180-RXN
PWY-6113	RXN-10061
PWY-6113	RXN-10060
PWY-6113	RXN-9663
PWY-6113	RXN1G-536
PWY-6113	RXN-9514
PWY-6113	RXN-9632
PWY-6113	RXN-9635
PWY-6113	RXN-10062
PWY-6113	RXN1G-526
PWY-6113	RXN1G-368
PWY-6113	RXN-10059
PWY-6285	RXN-9655
PWY-6285	2.3.1.180-RXN
PWY-6285	RXN-10654
PWY-6285	RXN-9550
PWY-6285	RXN-9514
PWY-6285	RXN0-2145
PWY-6285	RXN-10661
PWY-6285	RXN-9528
PWY-6285	2.3.1.179-RXN
PWY0-44	ALLOSE-KINASE-RXN
PWY0-44	RXN0-303
PWY0-44	RXN0-304
PWY-7036	RXN-13305
PWY-7036	RXN-13301
PWY-7036	RXN-13308
PWY-7036	RXN-13304
PWY-7036	RXN-13309
PWY-7036	RXN-13297
PWY-7036	RXN-13299
PWY-7036	RXN-13307
PWY-7036	RXN-13303
PWY-7036	RXN-13302
PWY-7036	RXN-13298
PWY-7036	RXN-13295
PWY-7036	RXN-13296
PWY-7036	RXN-13300
PWY-7036	RXN-13294
PWY-7036	RXN-13306
PWY-7094	RXN-13613
PWY-7094	RXN-13614
PWY-7094	RXN-13615
PWY-7094	RXN-12490
PWY-7094	RXN-13616
PWY-7094	RXN-13617
P302-PWY	SORB6PDEHYDROG-RXN
P302-PWY	R262-RXN
TRESYN-PWY	TREHALOSEPHOSPHA-RXN
TRESYN-PWY	TREHALOSE6PSYN-RXN
PWY0-881	2.3.1.180-RXN
PWY0-881	3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY0-881	ENOYL-ACP-REDUCT-NADH-RXN
PWY0-881	ENOYL-ACP-REDUCT-NADPH-RXN
PWY0-881	3-OXOACYL-ACP-SYNTH-RXN
PWY0-881	3-OXOACYL-ACP-REDUCT-RXN
PWY0-881	RXN-9655
PWYG-321	RXN1G-637
PWYG-321	RXN1G-3613
PWYG-321	RXN1G-582
PWYG-321	RXN1G-308
PWYG-321	RXN1G-1003
PWYG-321	RXN1G-309
PWYG-321	RXN1G-181
PWYG-321	RXN1G-79
PWYG-321	RXN1G-396
PWYG-321	RXN1G-289
PWYG-321	RXN1G-536
PWYG-321	RXN1G-1439
PWYG-321	RXN1G-37
PWYG-321	RXN1G-1247
PWYG-321	RXN1G-3256
PWYG-321	RXN1G-760
PWYG-321	RXN1G-295
PWYG-321	RXN1G-4141
PWYG-321	RXN1G-196
PWYG-321	RXN-10059
PWYG-321	RXN1G-72
PWYG-321	RXN1G-1529
PWYG-321	RXN1G-884
PWYG-321	RXN1G-297
PWYG-321	RXN1G-1278
PWYG-321	RXN1G-2527
PWYG-321	RXN1G-98
PWYG-321	RXN1G-1530
PWYG-321	RXN1G-679
PWYG-321	RXN1G-1633
PWYG-321	RXN1G-363
PWYG-321	RXN1G-470
PWYG-321	RXN1G-203
PWYG-321	RXN1G-469
PWYG-321	RXN1G-132
PWYG-321	RXN1G-214
PWYG-321	RXN1G-820
PWYG-321	RXN1G-1636
PWYG-321	RXN1G-279
PWYG-321	RXN1G-717
PWYG-321	RXN1G-285
PWYG-321	RXN1G-137
PWYG-321	RXN1G-686
PWYG-321	RXN1G-853
PWYG-321	RXN1G-881
PWYG-321	RXN1G-1438
PWYG-321	RXN1G-236
PWYG-321	RXN1G-517
PWYG-321	RXN1G-912
PWYG-321	RXN1G-220
PWYG-321	RXN1G-355
PWYG-321	RXN1G-364
PWYG-321	RXN1G-210
PWYG-321	RXN1G-808
PWYG-321	RXN1G-1528
PWYG-321	RXN1G-1004
PWYG-321	RXN1G-1081
PWYG-321	RXN1G-320
PWYG-321	RXN1G-617
PWYG-321	RXN1G-27
PWYG-321	RXN1G-471
PWYG-321	RXN1G-1635
PWYG-321	RXN-10061
PWYG-321	RXN1G-557
PWYG-321	RXN1G-1486
PWYG-321	RXN1G-424
PWYG-321	RXN1G-408
PWYG-321	RXN1G-1637
PWYG-321	RXN1G-425
PWYG-321	RXN1G-648
PWYG-321	RXN1G-499
PWYG-321	RXN1G-4355
PWYG-321	RXN1G-218
PWYG-321	RXN1G-377
PWYG-321	RXN1G-26
PWYG-321	RXN1G-32
PWYG-321	RXN1G-474
PWYG-321	RXN1G-276
PWYG-321	RXN1G-883
PWYG-321	RXN1G-89
PWYG-321	RXN1G-1152
PWYG-321	RXN1G-188
PWYG-321	RXN1G-374
PWYG-321	RXN1G-674
PWYG-321	RXN1G-1057
PWYG-321	RXN1G-840
PWYG-321	RXN1G-1527
PWYG-321	RXN1G-473
PWYG-321	RXN1G-4142
PWYG-321	RXN1G-4140
PWYG-321	RXN1G-807
PWYG-321	RXN1G-811
PWYG-321	RXN-10062
PWYG-321	RXN1G-809
PWYG-321	RXN1G-1130
PWYG-321	RXN1G-53
PWYG-321	RXN1G-4143
PWYG-321	RXN1G-1325
PWYG-321	RXN-15340
PWYG-321	RXN1G-440
PWYG-321	RXN1G-613
PWYG-321	RXN1G-481
PWYG-321	RXN1G-1117
PWYG-321	RXN1G-660
PWYG-321	RXN-15342
PWYG-321	RXN1G-262
PWYG-321	RXN1G-445
PWYG-321	RXN1G-384
PWYG-321	RXN1G-163
PWYG-321	RXN1G-810
PWYG-321	RXN1G-172
PWYG-321	RXN1G-1435
PWYG-321	RXN1G-334
PWYG-321	RXN1G-299
PWYG-321	RXN-10060
PWYG-321	RXN1G-240
PWYG-321	RXN1G-306
PWYG-321	RXN1G-45
PWYG-321	RXN1G-1436
PWYG-321	RXN1G-1050
PWYG-321	RXN1G-296
PWYG-321	RXN1G-248
PWYG-321	RXN1G-874
PWYG-321	RXN1G-1053
PWYG-321	RXN1G-508
PWYG-321	RXN1G-171
PWYG-321	RXN1G-1150
PWYG-321	RXN1G-3667
PWYG-321	RXN1G-337
PWYG-321	RXN1G-1084
PWYG-321	RXN1G-464
PWYG-321	RXN1G-468
PWYG-321	RXN1G-409
PWYG-321	RXN1G-3660
PWYG-321	RXN1G-509
PWYG-321	RXN1G-580
PWYG-321	RXN1G-915
PWYG-321	RXN1G-1212
PWYG-321	RXN1G-287
PWYG-321	RXN1G-1149
PWYG-321	RXN1G-420
PWYG-321	RXN1G-818
PWYG-321	RXN1G-193
PWYG-321	RXN1G-288
PWYG-321	RXN1G-260
PWYG-321	RXN1G-3641
PWYG-321	RXN1G-488
PWYG-321	RXN1G-3232
PWYG-321	RXN1G-30
PWYG-321	RXN1G-2544
PWYG-321	RXN1G-252
PWYG-321	RXN1G-645
PWYG-321	RXN1G-1437
PWYG-321	RXN1G-349
PWYG-321	RXN1G-138
PWYG-321	RXN1G-951
PWYG-321	RXN1G-202
PWYG-321	RXN1G-184
PWYG-321	RXN1G-294
PWYG-321	RXN1G-1634
PWYG-321	RXN1G-3993
PWYG-321	RXN1G-339
PWYG-321	RXN1G-472
PWYG-321	RXN1G-324
PWYG-321	RXN1G-358
PWYG-321	RXN1G-291
PWYG-321	RXN1G-1151
PWYG-321	RXN1G-554
PWYG-321	RXN1G-607
PWYG-321	RXN-15338
PWYG-321	RXN1G-292
PWYG-321	RXN1G-962
PWYG-321	RXN1G-368
PWYG-321	RXN-15339
PWYG-321	RXN1G-266
PWYG-321	RXN1G-94
PWYG-321	RXN1G-1015
PWYG-321	RXN1G-290
PWYG-321	RXN1G-182
PWYG-321	RXN1G-127
PWYG-321	RXN1G-526
PWYG-321	RXN1G-395
MALTOSECAT-PWY	BETA-PHOSPHOGLUCOMUTASE-RXN
MALTOSECAT-PWY	MALTOSE-PHOSPHORYLASE-RXN
DARABCAT-PWY	D-RIBULOKIN-RXN
DARABCAT-PWY	RXN-14806
DARABCAT-PWY	DARABISOM-RXN
PWY-7560	RXN0-302
PWY-7560	2.7.7.60-RXN
PWY-7560	IPPISOM-RXN
PWY-7560	DXS-RXN
PWY-7560	ISPH2-RXN
PWY-7560	RXN0-884
PWY-7560	RXN0-882
PWY-7560	2.7.1.148-RXN
PWY-7560	DXPREDISOM-RXN
TREHALOSESYN-PWY	TREHALOSEPHOSPHA-RXN
TREHALOSESYN-PWY	2.4.1.36-RXN
NONMEVIPP-PWY	RXN0-302
NONMEVIPP-PWY	2.7.7.60-RXN
NONMEVIPP-PWY	IPPISOM-RXN
NONMEVIPP-PWY	ISPH2-RXN
NONMEVIPP-PWY	DXS-RXN
NONMEVIPP-PWY	RXN0-884
NONMEVIPP-PWY	2.7.1.148-RXN
NONMEVIPP-PWY	RXN-15878
NONMEVIPP-PWY	DXPREDISOM-RXN
PWY-2261	RXN-3521
PWY-2261	1.8.5.1-RXN
PWY-2261	RXN-3522
PWY-2261	RXN-3523
DARABCATK12-PWY	GLYCOLALD-DEHYDROG-RXN
DARABCATK12-PWY	DARABALDOL-RXN
DARABCATK12-PWY	DARABKIN-RXN
DARABCATK12-PWY	DARABISOM-RXN
DETOX1-PWY-1	RXN-12540
DETOX1-PWY-1	CATAL-RXN
DETOX1-PWY-1	SUPEROX-DISMUT-RXN
DETOX1-PWY-1	GLUTATHIONE-PEROXIDASE-RXN
PWY-5519	ARABINONATE-DEHYDRATASE-RXN
PWY-5519	RXN-8776
PWY-5519	25-DIOXOVALERATE-DEHYDROGENASE-RXN
PWY-5519	RXN-8777
PWY-5519	RXN-14807
PWY-5519	D-ARABINONOLACTONASE-RXN
PWY-701	RXN-14301
PWY-701	RXN-15123
PWY-701	RXN-15121
METHIONINE-DEG1-PWY	ADENOSYLHOMOCYSTEINASE-RXN
METHIONINE-DEG1-PWY	S-ADENMETSYN-RXN
METHIONINE-DEG1-PWY	RXN-7605
DETOX1-PWY	CATAL-RXN
DETOX1-PWY	SUPEROX-DISMUT-RXN
PWY-6422	RXN-15849
PWY-6422	RXN-15850
PWY-6422	RXN-11194
PWY0-1535	RXN-15124
PWY0-1535	RXN-15127
PWY0-1535	RXN-15581
PWY-6284	RXN0-2145
PWY-6284	RXN-10654
PWY-6284	RXN-10661
PWY-6284	2.3.1.179-RXN
PWY-7691	RXN-16881
PWY-7691	RXN-16880
PWY-5973	RXN-9556
PWY-5973	RXN-9555
PWY-5973	RXN-9557
PWY-5973	RXN-9558
PWY-5973	2.3.1.179-RXN
PWY-7663	RXN-16630
PWY-7663	RXN-16629
PWY-7663	RXN-16631
PWY-7663	RXN-16632
PWY-7858	RXN-18461
PWY-7858	RXN0-2145
PWY-7858	RXN0-2141
PWY-7858	5.3.3.14-RXN
PWY-7858	RXN0-2144
PWY-7858	RXN0-2142
PWY0-862	RXN-9655
PWY0-862	RXN0-2145
PWY0-862	RXN0-2141
PWY0-862	5.3.3.14-RXN
PWY0-862	RXN0-2144
PWY0-862	RXN0-2142
PWY-5942	RXN-12412
PWY-5942	2.5.1.32-RXN
PWY-5942	RXN-8022
PWY-5942	RXNARA-8002
PWY-6475	RXNARA-8002
PWY-6475	2.5.1.32-RXN
PWY-6475	RXN-8042
PWY-6475	RXN-11354
PWY-6475	RXN-11356
PWY-6475	RXN-12243
PWY-6475	RXN-12244
PWY-6475	RXN-11357
PWY0-1533	RXN0-6733
PWY0-1533	RXN0-6734
PWY0-1533	RXN0-6732
PWY0-1533	RXN0-6710
PWY-7399	RXN0-6733
PWY-7399	RXN0-6734
PWY-7399	RXN-14995
PWY-7399	RXN0-6732
PWY-7399	RXN-14996
PWY-5899	RXN-9365
PWY-5899	RXN-9311
PWY-5899	RXN-9364
PWY-5839	RXN-9191
PWY-5839	RXN-9190
PWY-5845	RXN-9204
PWY-5845	RXN-9311
PWY-5845	TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN
PWY-5845	RXN-9205
SALVPURINE2-PWY	XANPRIBOSYLTRAN-RXN
SALVPURINE2-PWY	XANTHOSINEPHOSPHORY-RXN
PWY-5890	RXN-9361
PWY-5890	RXN-9358
PWY-5895	RXN-9365
PWY-5895	RXN-9366
PWY-7224	DEOXYADENYLATE-KINASE-RXN
PWY-7224	DGDPKIN-RXN
PWY-7224	DEOXYADENOSINE-KINASE-RXN
PWY-7224	DEOXYGUANOSINE-KINASE-RXN
PWY-7224	DADPKIN-RXN
PWY-7224	GMKALT-RXN
PWY-5898	RXN-9139
PWY-5898	RXN-9360
PWY-5898	RXN-9311
PWY-6605	ADENOSINE-NUCLEOSIDASE-RXN
PWY-6605	ADENPRIBOSYLTRAN-RXN
PWY-5838	RXN-8992
PWY-5838	ADOMET-DMK-METHYLTRANSFER-RXN
PWY-5838	RXN-9311
PWY-5838	DMK-RXN
PWY-6611	INOSINEKIN-RXN
PWY-6611	ADENPHOSPHOR-RXN
PWY-6611	ADENODEAMIN-RXN
PWY-7992	RXN-10623
PWY-7992	RXN-10622
PWY-7992	RXN-8992
PWY-7992	ADOMET-DMK-METHYLTRANSFER-RXN
P121-PWY	ADENPRIBOSYLTRAN-RXN
P121-PWY	ADENPHOSPHOR-RXN
PWY-6610	ADENPRIBOSYLTRAN-RXN
PWY-6610	ADENINE-DEAMINASE-RXN
PWY-6610	HYPOXANPRIBOSYLTRAN-RXN
PWY-5850	TRANS-PENTAPRENYLTRANSFERASE-RXN
PWY-5850	RXN-9220
PWY-5850	RXN-9311
PWY-5850	RXN-9217
PWY-6609	INOPHOSPHOR-RXN
PWY-6609	ADENPHOSPHOR-RXN
PWY-6609	ADENODEAMIN-RXN
PWY-6609	HYPOXANPRIBOSYLTRAN-RXN
PWY-5892	RXN-9363
PWY-5892	RXN-9360
PWY-5897	RXN-9359
PWY-5897	RXN-9311
PWY-5897	RXN-9138
PWY-6263	RXN-10622
PWY-6263	TRANS-PENTAPRENYLTRANSFERASE-RXN
PWY-6263	RXN-8992
PWY-6263	TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN
PWY-6263	RXN-10623
PWY-6263	RXN-10620
PWY-6263	ADOMET-DMK-METHYLTRANSFER-RXN
PWY-5840	RXN-9190
PWY-5840	RXN-9311
PWY-5840	TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN
PWY-5891	RXN-9359
PWY-5891	RXN-9362
PWY-5896	RXN-9106
PWY-5896	RXN-9311
PWY-5896	RXN-9358
GLUTORN-PWY	N-ACETYLTRANSFER-RXN
GLUTORN-PWY	ACETYLORNTRANSAM-RXN
GLUTORN-PWY	ACETYLGLUTKIN-RXN
GLUTORN-PWY	ACETYLORNDEACET-RXN
GLUTORN-PWY	N-ACETYLGLUTPREDUCT-RXN
RHAMCAT-PWY	RHAMNULPALDOL-RXN
RHAMCAT-PWY	RHAMNULOKIN-RXN
RHAMCAT-PWY	RHAMNISOM-RXN
RHAMCAT-PWY	RXN-15356
RHAMCAT-PWY	RXN0-5306
PWY-6714	RXN-12095
PWY-6714	L-RHAMNOSE-1-DEHYDROGENASE-RXN
PWY-6714	RXN-12149
PWY-6714	RXN-12096
PWY-6714	L-RHAMNONATE-DEHYDRATASE-RXN
PWY-6714	L-RHAMNONO-14-LACTONASE-RXN
PWY-6714	RXN-12158
PWY-6713	L-RHAMNOSE-1-DEHYDROGENASE-RXN
PWY-6713	RXN-12149
PWY-6713	LACTALDDEHYDROG-RXN
PWY-6713	L-RHAMNONATE-DEHYDRATASE-RXN
PWY-6713	RXN0-5433
PWY-6713	RXN-12165
PWY-6713	L-RHAMNONO-14-LACTONASE-RXN
PWY-6713	RXN-12158
PWY0-1317	LACTALDDEHYDROG-RXN
PWY0-1317	L-LACTDEHYDROGFMN-RXN
PWY-7176	CTPSYN-RXN
PWY-7176	RXN-12002
PWY-7176	UDPKIN-RXN
PWY0-162	OROTPDECARB-RXN
PWY0-162	RXN-12002
PWY-7775	RXN-17571
PWY-7775	RXN-17568
PWY-7775	RXN-17579
PWY-7775	RXN-17578
PWY-7775	RXN-17569
PWY-7774	RXN-17571
PWY-7774	RXN-17567
PWY-7774	RXN-17572
PWY-7774	RXN-17568
PWY-6125	GDPREDUCT-RXN
PWY-6125	GUANYL-KIN-RXN
PWY-6125	GDPKIN-RXN
PWY-6125	RXN0-746
PWY-6125	RXN0-748
PWY-7229	ADENYL-KIN-RXN
PWY-7229	ADPREDUCT-RXN
PWY-7229	RXN0-747
PWY-7229	ATPSYN-RXN
PWY-7229	RXN0-745
DENOVOPURINE2-PWY	AIRS-RXN
DENOVOPURINE2-PWY	RXN0-742
DENOVOPURINE2-PWY	IMP-DEHYDROG-RXN
DENOVOPURINE2-PWY	IMPCYCLOHYDROLASE-RXN
DENOVOPURINE2-PWY	ADENYLOSUCCINATE-SYNTHASE-RXN
PWY-7228	GDPREDUCT-RXN
PWY-7228	GUANYL-KIN-RXN
PWY-6086	RXN-9864
PWY-6086	RXN-9866
PWY-6126	ADENYL-KIN-RXN
PWY-6126	ADPREDUCT-RXN
PWY-6126	RXN0-747
PWY-6126	ATPSYN-RXN
PWY-6126	RXN0-745
PWY-841	ADENYL-KIN-RXN
PWY-841	GDPREDUCT-RXN
PWY-841	GUANYL-KIN-RXN
PWY-841	ADPREDUCT-RXN
PWY-841	AIRCARBOXY-RXN
PWY-841	AIRS-RXN
PWY-841	IMP-DEHYDROG-RXN
PWY-841	IMPCYCLOHYDROLASE-RXN
PWY-841	ADENYLOSUCCINATE-SYNTHASE-RXN
PWY-6178	RXN-10074
PWY-6178	RXN-10076
PWY-6178	MALEYLACETATE-REDUCTASE-RXN
PWY-6178	RXN-18362
PWY-6178	CHLOROMALERED-RXN
PWY-6178	RXN-10075
PWY-6197	RXN-10128
PWY-6197	RXN-10129
PWY-6197	RXN-10125
PWY-6197	RXN-10127
PWY-6107	RXN-9912
PWY-6107	RXN-9892
PWY-6107	RXN-9914
PWY-6107	RXN-9870
PWY-6107	MALEYLACETATE-REDUCTASE-RXN
PWY-6107	RXN-9869
PWY-6107	RXN-9913
PWY-7227	DADPKIN-RXN
PWY-7227	ADPREDUCT-RXN
PWY-7220	RXN0-747
PWY-7220	DADPKIN-RXN
PWY-7220	RXN0-745
PWY-7220	ADPREDUCT-RXN
PWY-7496	RXN-15526
PWY-7496	RXN-15527
PWY-7512	RXN-15576
PWY-7512	RXN-15569
PWY-6200	RXN-10134
PWY-6200	MALEYLACETATE-REDUCTASE-RXN
PWY-6200	RXN-10137
PWY-6200	RXN-10133
PWY-6200	RXN-12312
PWY-6200	1.6.5.7-RXN
PWY-6200	RXN-10135
PWY-6200	RXN-10136
PWY-6200	RXN-12313
PWY-7771	RXN-17546
PWY-7771	RXN-17538
PWY-7771	RXN-17539
PWY-7771	DHLBXANAU-RXN
PWY-7771	RXN-17540
PWY-7771	RXN-17542
PWY-7823	RXN-18090
PWY-7823	RXN-18091
PWY-6102	RXN-9904
PWY-6102	RXN-9902
PWY-6102	RXN-9905
PWY-6102	RXN-17091
PWY-6085	24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN
PWY-6085	RXN-9863
PWY-6215	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
PWY-6215	6.2.1.33-RXN
PWY-6215	3.8.1.7-RXN
PWY-6215	3.1.2.23-RXN
PWY-6965	RXN-12902
PWY-6965	METHYLGUTAMATE-DEHYDROGENASE-RXN
PWY-6965	GLUTAMATE--METHYLAMINE-LIGASE-RXN
PWY-5532	RXN-14700
PWY-5532	URPHOS-RXN
PWY-5532	ADENPHOSPHOR-RXN
PWY-5532	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
PWY-5532	RXN-8801
PWY-5532	RXN-8800
PWY-5532	RXN-17337
PWY-5532	CYTIKIN-RXN
PWY-5532	RXN0-5199
PWY-5532	RXN-14699
PWY0-1297	DEOXYINOPHOSPHOR-RXN
PWY0-1297	DEOXYADENPHOSPHOR-RXN
PWY0-1297	DEOXYGUANPHOSPHOR-RXN
PWY0-1297	D-PPENTOMUT-RXN
PWY-6217	RXN-10426
PWY-6217	RXN-10428
PWY-6217	RXN-10425
PWY-6217	RXN-10427
PWY-6216	RXN-10425
PWY-6216	RXN-10423
PWY-6216	RXN-10424
PWY-6216	RXN-10421
PWY-6216	RXN-10426
PWY-6216	RXN-10422
PWY-6088	RXN-9873
PWY-6088	RXN-9872
PWY-6088	RXN-9871
PWY-6088	RXN-9874
PWY-6019	RXN0-5398
PWY-6019	PSEUDOURIDINE-KINASE-RXN
PWY-6228	3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN
PWY-6228	RXN-10448
PWY-5695	XMPXAN-RXN
PWY-5695	XANTHOSINEPHOSPHORY-RXN
PWY-5695	RXN0-901
PWY-5695	IMP-DEHYDROG-RXN
PWY-6084	RXN-9856
PWY-6084	MALEYLACETATE-REDUCTASE-RXN
PWY-6084	RXN-18362
PWY-6084	RXN-16227
PWY-6084	RXN-9857
PWY-6084	RXN-9855
PWY-6084	CHLOROMALERED-RXN
PWY-6084	5.2.1.10-RXN
PWY-7179	DEOXYADENPHOSPHOR-RXN
PWY-7179	DEOXYINOPHOSPHOR-RXN
PWY-7179	ADDALT-RXN
PWY-7179	DEOXYGUANPHOSPHOR-RXN
PWY-6087	CARBOXYMETHYLENEBUTENOLIDASE-RXN
PWY-6087	RXN-9892
PWY-6087	RXN-9870
PWY-6087	MALEYLACETATE-REDUCTASE-RXN
PWY-6087	RXN-9893
PWY-6093	RXN-17092
PWY-6093	MALEYLACETATE-REDUCTASE-RXN
PWY-6093	RXN-9887
PWY-6093	RXN-18362
PWY-6093	RXN-18364
PWY-6093	RXN-9884
PWY-6093	RXN-9886
PWY-6093	RXN-9885
PWY0-1296	XANTHOSINEPHOSPHORY-RXN
PWY0-1296	INOPHOSPHOR-RXN
PWY0-1296	ADENPHOSPHOR-RXN
PWY0-1296	ADENODEAMIN-RXN
PWY0-1296	PPENTOMUT-RXN
PWY0-1296	RXN0-5199
PWY-6094	RXN-9888
PWY-6094	MALEYLACETATE-REDUCTASE-RXN
PWY-6094	RXN-18362
PWY-6094	RXN-17093
PWY-6094	RXN-18364
PWY-6094	RXN-9890
PWY-6094	RXN-9891
PWY-6094	RXN-18363
PWY-6094	RXN-9885
PWY-6094	RXN-9889
PWY-6193	CARBOXYMETHYLENEBUTENOLIDASE-RXN
PWY-6193	RXN-10087
PWY-6193	RXN-9867
PWY-6193	MALEYLACETATE-REDUCTASE-RXN
PWY-6193	RXN-9860
PWY-6089	RXN-9867
PWY-6089	RXN-9868
PWY-6089	MALEYLACETATE-REDUCTASE-RXN
PWY-6089	RXN-9860
PWY-6089	RXN-9894
SALVADEHYPOX-PWY	RXN0-901
SALVADEHYPOX-PWY	INOPHOSPHOR-RXN
SALVADEHYPOX-PWY	ADENODEAMIN-RXN
SALVADEHYPOX-PWY	AMP-DEPHOSPHORYLATION-RXN
SALVADEHYPOX-PWY	RXN-7682
PWY-6214	4.1.1.77-RXN
PWY-6214	RXN-8529
PWY-6214	RXN-10420
PWY-6214	RXN-10419
PWY-6104	RXN-9909
PWY-6104	RXN-9910
PWY-6104	RXN-9908
PWY-6103	RXN-9907
PWY-6103	RXN-9906
PWY-5978	RXN-9578
PWY-5978	RXN-9579
PWY-5978	RXN-9580
PWY8J2-22	RXN8J2-138
PWY8J2-22	RXN8J2-137
PWY8J2-22	RXN8J2-136
PWY-7528	5.3.1.23-RXN
PWY-7528	SPERMIDINESYN-RXN
PWY-7528	S-ADENMETSYN-RXN
PWY-7528	METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN
PWY-7528	5-METHYLTHIORIBOSE-KINASE-RXN
PWY-7528	RXN-15650
PWY-7528	SAMDECARB-RXN
PWY-7527	5.3.1.23-RXN
PWY-7527	SPERMIDINESYN-RXN
PWY-7527	S-ADENMETSYN-RXN
PWY-7527	5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN
PWY-7527	RXN-15650
PWY-7527	SAMDECARB-RXN
LEUSYN-PWY	3-ISOPROPYLMALISOM-RXN
LEUSYN-PWY	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
LEUSYN-PWY	RXN-8991
LEUSYN-PWY	3-ISOPROPYLMALDEHYDROG-RXN
LEUSYN-PWY	2-ISOPROPYLMALATESYN-RXN
LEUSYN-PWY	RXN-7800
PWY-6146	ALANINE-AMINOTRANSFERASE-RXN
PWY-6146	PEPDEPHOS-RXN
PWY-6146	ACETYL-COA-ACETYLTRANSFER-RXN
PWY-6146	ASPAMINOTRANS-RXN
PWY-6146	PEPCARBOX-RXN
PWY-6146	MALATE-DEH-RXN
PWY-6146	PYRUVATE-CARBOXYLASE-RXN
PWY-6146	FARNESYLTRANSTRANSFERASE-RXN
PWY-6146	PYRUFLAVREDUCT-RXN
PWY-6146	2.5.1.41-RXN
PWY-6146	ACETYLSYNCLTH-RXN
PWY-7187	THYMIDYLATESYN-RXN
PWY-7187	DCTP-DEAM-RXN
PWY-7187	DTMPKI-RXN
PWY-7187	RXN0-724
PWY-7187	RXN0-723
PWY-7187	DUTP-PYROP-RXN
PWY-7187	DTDPKIN-RXN
PWY-5507	UROGENIIISYN-RXN
PWY-5507	DMBPPRIBOSYLTRANS-RXN
PWY-5507	RXN-19344
PWY-5507	RXN-6261
PWY-5507	4.1.1.81-RXN
PWY-5507	COBALAMIN5PSYN-RXN
PWY-5507	COBINPGUANYLYLTRANS-RXN
PWY-5507	UROPORIIIMETHYLTRANSA-RXN
PWY-5507	RXN-8771
PWY-5507	RXN-8769
P381-PWY	UROGENIIISYN-RXN
P381-PWY	DMBPPRIBOSYLTRANS-RXN
P381-PWY	RXN-19344
P381-PWY	RXN-6261
P381-PWY	4.1.1.81-RXN
P381-PWY	COBALAMIN5PSYN-RXN
P381-PWY	COBINPGUANYLYLTRANS-RXN
P381-PWY	UROPORIIIMETHYLTRANSA-RXN
P381-PWY	RXN-8771
P381-PWY	R342-RXN
PWY0-166	RXN0-722
PWY0-166	DCTP-DEAM-RXN
PWY0-166	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
PWY0-166	THYMIDYLATESYN-RXN
PWY0-166	UDPREDUCT-RXN
PWY0-166	DUDPKIN-RXN
PWY0-166	RXN-12195
PWY0-166	DTMPKI-RXN
PWY0-166	RXN0-724
PWY0-166	DCDPKIN-RXN
PWY0-166	RXN0-723
PWY0-166	DUTP-PYROP-RXN
PWY0-166	CDPREDUCT-RXN
PWY0-166	DTDPKIN-RXN
PWY-922	IPPISOM-RXN
PWY-922	PHOSPHOMEVALONATE-KINASE-RXN
PWY-922	ACETYL-COA-ACETYLTRANSFER-RXN
PWY-922	1.1.1.34-RXN
PWY-922	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN
