	copy_number
Dehalococcoides_sp._UCH007	1
Alcanivorax_sp._NBRC_101098	3
Spongiibacter_sp._IMCC21906	2
Streptomyces_sp._CNQ-509	5
Halanaeroarchaeum_sulfurireducens	1
Hoeflea_sp._IMCC20628	1
Streptomyces_leeuwenhoekii	6
Kiritimatiella_glycovorans	1
Pandoraea_thiooxydans	2
Pseudomonas_lundensis	7.5
Thioalkalivibrio_versutus	1
Corynebacterium_mustelae	4
Corynebacterium_epidermidicanis	4
Corynebacterium_testudinoris	4
Corynebacterium_uterequi	5
Candidatus_Liberibacter_africanus	3
Mycobacterium_sp._EPa45	2
Xanthomonas_translucens	2
Chryseobacterium_gallinarum	6
Phytobacter_ursingii	7
Bifidobacterium_pseudocatenulatum	5.5
Pragia_fontium	7
Kosmotoga_pacifica	2
Archangium_gephyra	3
Endomicrobium_proavitum	1
Pelagerythrobacter_marensis	1
Staphylococcus_capitis	5.8
Burkholderia_pyrrocinia	6
Croceicoccus_naphthovorans	1
Pandoraea_faecigallinarum	4
Burkholderia_contaminans	5.8
Spiroplasma_atrichopogonis	1
Spiroplasma_eriocheiris	1
Lactobacillus_acetotolerans	4
Bifidobacterium_scardovii	3
Parascardovia_denticolens	2
Scardovia_inopinata	2
Clostridium_aceticum	6
Marinobacter_psychrophilus	3
Marinovum_algicola	2
Yersinia_aleksiciae	7
Bacillus_smithii	11
Cyclobacterium_amurskyense	4
Lactobacillus_koreensis	6
Companilactobacillus_ginsenosidimutans	3
Thauera_humireducens	4
Candidatus_Coxiella_mudrowiae	1
Aurantiacibacter_atlanticus	1
Rufibacter_sp._DG31D	2
Bordetella_hinzii	3
Sphingobium_yanoikuyae	4
Synechococcus_sp._WH_8103	2
Methylophilus_sp._TWE2	2
Planococcus_versutus	9
Edwardsiella_sp._LADL05-105	9
Pseudomonas_trivialis	5
'Leptospirillum_sp._Group_II_''CF-1'''	2
Mycolicibacterium_goodii	2
Anoxybacillus_gonensis	8
Thermoactinomyces_vulgaris	7
Wenzhouxiangella_marina	1
Octadecabacter_temperatus	1
Staphylococcus_schleiferi	5.57
Pyrobaculum_sp._WP30	1
Chondromyces_crocatus	3
Olsenella_sp._oral_taxon_807	2
Arsenicicoccus_sp._oral_taxon_190	2
Selenomonas_sp._oral_taxon_478	4
Campylobacter_gracilis	3
Campylobacter_ureolyticus	3.5
Azoarcus_sp._CIB	4
Luteipulveratus_mongoliensis	2
Massilia_sp._NR_4-1	7
Prevotella_fusca	4
Schaalia_meyeri	3
Ottowia_sp._oral_taxon_894	3
Spiroplasma_turonicum	1
Vulgatibacter_incomptus	3
Labilithrix_luteola	4
Bifidobacterium_actinocoloniiforme	2
Microbacterium_sp._CGR1	2
Marinobacter_sp._CP1	3
Spiroplasma_litorale	1
Oblitimonas_alkaliphila	4.33
Streptomyces_ambofaciens	6
Herbaspirillum_hiltneri	2
Chelatococcus_sp._CO-6	2
Paenibacillus_peoriae	13.5
Nitrospira_moscoviensis	1
Leptotrichia_sp._oral_taxon_212	4
Geobacillus_stearothermophilus	9.75
Spiroplasma_kunkelii	1
Corynebacterium_lactis	3
Kocuria_palustris	3
Francisella_persica	2.5
Cronobacter_universalis	7
Cronobacter_muytjensii	7
Cronobacter_dublinensis	7
Cronobacter_condimenti	7
Anabaena_sp._WA102	5
Corynebacterium_deserti	6
Sphingopyxis_sp._113P3	1
Desulfuromonas_soudanensis	2
Streptomyces_pristinaespiralis	6
Streptomyces_sp._CFMR_7	6
Acinetobacter_sp._TTH0-4	7
Capnocytophaga_sp._oral_taxon_323	4
Actinomyces_sp._oral_taxon_414	3
Klebsiella_quasipneumoniae	8
Hymenobacter_sp._DG25A	2
Citrobacter_portucalensis	8
Spiroplasma_cantharicola	1
Arthrobacter_sp._ERGS1:01	6
Candidatus_Thioglobus_singularis	1
Bartonella_ancashensis	2
Cupriavidus_gilardii	4
Altererythrobacter_epoxidivorans	1
Lawsonella_clevelandensis	2
Candidatus_Thioglobus_autotrophicus	1
Pseudonocardia_sp._EC080625-04	4
Pseudomonas_versuta	8
Pseudonocardia_sp._AL041005-10	4
Pseudonocardia_sp._HH130629-09	3
Psychrobacter_urativorans	6
Glutamicibacter_halophytocola	6
Kibdelosporangium_phytohabitans	3
Methanosarcina_flavescens	3
Megasphaera_elsdenii	7
Citromicrobium_sp._JL477	1
Beggiatoa_leptomitoformis	2
Azospirillum_thiophilum	9
Confluentimicrobium_sp._EMB200-NS6	2
Gordonia_phthalatica	4
Acinetobacter_equi	7
Sphingopyxis_macrogoltabida	1
'''Echinacea_purpurea''_witches''-broom_phytoplasma'	2
Mycolicibacterium_fortuitum	2
Lentibacillus_amyloliquefaciens	6
Weissella_cibaria	9.1
Celeribacter_marinus	2
Rufibacter_tibetensis	4
Algibacter_alginicilyticus	2
Brevundimonas_sp._DS20	2
Vibrio_owensii	12
Microbacterium_sp._No._7	2
Stenotrophomonas_acidaminiphila	3
Apilactobacillus_kunkeei	5
Candidatus_Xiphinematobacter_sp._Idaho_Grape	1
Bacteroides_cellulosilyticus	4
Thermus_aquaticus	2
Blastochloris_viridis	3
Devosia_sp._A16	2
Limnohabitans_sp._63ED37-2	3
Limnohabitans_sp._103DPR2	2
Massilia_sp._WG5	8
Pyrodictium_delaneyi	1
Pedobacter_sp._PACM_27299	7
Caulobacter_henricii	2
Agarivorans_gilvus	7
Pseudonocardia_sp._EC080610-09	4
Pseudonocardia_sp._EC080619-01	4
Paenibacillus_bovis	9
Sediminicola_sp._YIK13	3
Nonlabens_sp._MIC269	3
Halomonas_huangheensis	4
Streptomyces_sp._FR-008	7
Staphylococcus_equorum	7
Alteromonas_stellipolaris	5
Aneurinibacillus_sp._XH2	11
Lysobacter_antibioticus	2.5
Aureimonas_sp._AU20	1
Lysobacter_capsici	2
Lysobacter_gummosus	2
Staphylococcus_agnetis	5.67
Salinivirga_cyanobacteriivorans	3
Lactobacillus_paraplantarum	3.67
Colwellia_sp._MT41	9
Pseudoalteromonas_phenolica	9
Pseudohongiella_spirulinae	2
Prevotella_enoeca	3
Marinobacter_sp._LQ44	3
Paenibacillus_sp._IHB_B_3084	9
Aeromonas_schubertii	9.5
Intestinimonas_butyriciproducens	2
Arthrobacter_sp._YC-RL1	6
Fusobacterium_hwasookii	4.8
Nitrosomonas_ureae	1
Pseudoalteromonas_issachenkonii	8
Clostridium_butyricum	10.91
Sphingobium_baderi	2
Chryseobacterium_sp._IHB_B_17019	6
Mycobacteroides_saopaulense	1
Candidatus_Nitrospira_inopinata	1
Helicobacter_typhlonius	2
Paenibacillus_naphthalenovorans	11
Paenibacillus_sp._32O-W	6
Pandoraea_norimbergensis	4
Planococcus_rifietoensis	9
Planococcus_kocurii	9
Lacimicrobium_alkaliphilum	4
Pseudoalteromonas_sp._13-15	9
Paucibacter_sp._KCTC_42545	6
Methanobrevibacter_millerae	2
Myroides_odoratimimus	9
Ignicoccus_islandicus	1
Kocuria_flava	3
Pseudoalteromonas_rubra	10
Tenacibaculum_dicentrarchi	10
Roseateles_depolymerans	4
Carnobacterium_sp._CP1	8
Mycoplasma_sp._(ex_Biomphalaria_glabrata)	1
Pannonibacter_phragmitetus	3
Streptomyces_sp._CdTB01	6
Pseudarthrobacter_sulfonivorans	5
Thermococcus_sp._2319x1	1
Acinetobacter_johnsonii	7
Halobacterium_hubeiense	1
Acetobacter_senegalensis	5
Candidatus_Protochlamydia_naegleriophila	4
Hymenobacter_sedentarius	3
Deinococcus_actinosclerus	3.5
Aeromicrobium_erythreum	2
Pseudomonas_sp._URMO17WK12:I11	6.5
Magnetospirillum_sp._XM-1	2
Microbacterium_sp._XT11	2
Burkholderia_sp._Bp5365	4
Achromobacter_denitrificans	3.83
Erwinia_gerundensis	7
Aerococcus_urinaeequi	5.67
Pseudomonas_oryzihabitans	5
Leclercia_adecarboxylata	8
Synechococcus_sp._PCC_73109	2
Burkholderia_sp._NRF60-BP8	6
Burkholderia_sp._BDU8	4
Burkholderia_sp._BDU6	4
Burkholderia_sp._LA-2-3-30-S1-D2	6
Burkholderia_sp._MSMB0266	4
Burkholderia_sp._MSMB0852	4
Burkholderia_sp._MSMB0856	6
Burkholderia_sp._MSMB617WGS	4
Candidatus_Arsenophonus_lipoptenae	1
Kurthia_sp._11kri321	9
Thermus_parvatiensis	2
Streptomyces_griseochromogenes	6
Microterricola_viridarii	3
Methylobacterium_sp._AMS5	5
Aerococcus_christensenii	4
Aerococcus_sanguinicola	4
Aerococcus_urinaehominis	4
Pseudomonas_fragi	7.25
Aerococcus_viridans	7
Lutibacter_profundi	2
Turicibacter_sp._H121	12
Limnochorda_pilosa	2
Erysipelothrix_larvae	4
Halomonas_chromatireducens	1
Thermosulfidibacter_takaii	1
Bathymodiolus_septemdierum_thioautotrophic_gill_symbiont	1
Pseudomonas_sp._Os17	6
Pseudomonas_sp._St29	6
Vibrio_tritonius	11
Asaia_bogorensis	5
Methylobacterium_aquaticum	11
Sulfurospirillum_sp._UCH001	4
Sulfurospirillum_cavolei	3
Rhodovulum_sulfidophilum	3
Geminocystis_sp._NIES-3708	3
Geminocystis_sp._NIES-3709	3
Caldimicrobium_thiodismutans	1
Nostoc_sp._NIES-3756	4
Leptolyngbya_sp._O-77	2
Leptolyngbya_sp._NIES-3755	3
Fischerella_sp._NIES-3754	4
Methanobrevibacter_sp._YE315	2
Capnocytophaga_haemolytica	4
Actinomyces_radicidentis	3
Desulfovibrio_fairfieldensis	3
Desulfomicrobium_orale	2
Leptotrichia_sp._oral_taxon_847	5
Streptococcus_sp._oral_taxon_431	4
Bacillus_sp._SDLI1	9
Gemella_sp._oral_taxon_928	4
Actinomyces_oris	3
Moraxella_osloensis	4
Selenomonas_sp._oral_taxon_136	4
Burkholderia_sp._PAMC_26561	4
Grimontia_hollisae	9
Vibrio_fluvialis	10
Vibrio_mimicus	9.67
Enterococcus_gallinarum	5
Microbacterium_sp._PAMC_28756	2
Sphingopyxis_granuli	1
Staphylococcus_simulans	6
Citrobacter_sp._FDAARGOS_156	8
Hafnia_paralvei	8
Anaerotignum_propionicum	7
Corynebacterium_stationis	5
Alteromonas_sp._Mac1	7
Alteromonas_addita	5
Stenotrophomonas_sp._KCTC_12332	4
Bosea_sp._PAMC_26642	1
Hymenobacter_sp._PAMC_26628	3
Pseudodesulfovibrio_indicus	1
Methanobrevibacter_olleyae	2
Sphingobium_sp._TKS	3
Sphingobium_sp._MI1205	2
Faecalibaculum_rodentium	14
Serratia_rubidaea	7
Variovorax_sp._PAMC_28711	2
Sinomonas_atrocyanea	4
Frondihabitans_sp._PAMC_28766	2
Burkholderia_sp._PAMC_28687	4
Rufibacter_sp._DG15C	3
Pyrococcus_kukulkanii	1
Martelella_sp._AD-3	3
Peribacillus_simplex	13
Pseudomonas_azotoformans	5.67
Rhodoplanes_sp._Z2-YC6860	1
Labrenzia_sp._CP4	3
Steroidobacter_denitrificans	1
Arthrobacter_sp._SLBN-53	2
Collimonas_pratensis	3
'endosymbiont_''TC1''_of_Trimyema_compressum'	2
Pseudomonas_citronellolis	5
Obesumbacterium_proteus	8
Corynebacterium_simulans	4
Zhongshania_aliphaticivorans	3
Sphingorhabdus_sp._M41	2
Streptococcus_sp._A12	4
Pedobacter_cryoconitis	6
Sporosarcina_psychrophila	10
Geobacillus_sp._JS12	9
Thermococcus_peptonophilus	1
Psychrobacter_sp._P2G3	4
Psychrobacter_sp._P11G5	4
Algoriphagus_sanaruensis	3
Pseudomonas_glycinae	5
Shigella_sp._PAMC_28760	7
Mucilaginibacter_sp._PAMC_26640	3
Hymenobacter_sp._PAMC_26554	3
Pseudomonas_alcaligenes	3
Streptococcus_halotolerans	6
Helicobacter_himalayensis	2
Aminobacter_aminovorans	3
Mycobacteroides_immunogenum	2
Pseudomonas_koreensis	5.5
Brevibacterium_linens	4
Psychrobacter_alimentarius	5
Planctomyces_sp._SH-PL14	2
Gemmata_sp._SH-PL17	3
Pirellula_sp._SH-Sr6A	1
Planctomyces_sp._SH-PL62	4
Pediococcus_damnosus	4
Desulfuromonas_sp._DDH964	2
Pontibacter_akesuensis	4
Streptomyces_qaidamensis	6
Mycobacterium_sp._QIA-37	1
Haematospirillum_jordaniae	5
Acinetobacter_sp._TGL-Y2	7
Pseudomonas_yamanorum	5
Rummeliibacillus_stabekisii	12
Microbulbifer_thermotolerans	3
Geobacillus_subterraneus	9.33
Luteitalea_pratensis	1
Staphylococcus_condimenti	5.67
Rhodococcus_sp._PBTS_2	4
Rhodococcus_sp._PBTS_1	3
Defluviimonas_alba	2
Streptococcus_marmotae	4
Enterobacter_sp._ODB01	8
Acetobacter_oryzifermentans	5
Geobacter_anodireducens	2
Fictibacillus_phosphorivorans	7
Dokdonella_koreensis	2
Mycobacteroides_chelonae	1
Ectothiorhodospira_sp._BSL-9	2
Anoxybacillus_sp._B2M1	9
Anoxybacillus_amylolyticus	7
Anoxybacillus_sp._B7M1	9
Moraxella_ovis	4
Isoptericola_dokdonensis	4
Brevundimonas_sp._GW460-12-10-14-LB2	2
Sphingomonas_sp._NIC1	2
Phocaeicola_dorei	7
Rathayibacter_tritici	2
Dyella_thiooxydans	2
Enterococcus_hirae	6
Streptococcus_pantholopis	5
Clostridium_tyrobutyricum	5.67
Serratia_surfactantfaciens	6
Fictibacillus_arsenicus	7
Corynebacterium_crudilactis	6
Denitrobacterium_detoxificans	3
Campylobacter_hyointestinalis	3
Deinococcus_puniceus	3
Mycobacterium_sp._YC-RL4	2
Paenibacillus_swuensis	10
Flavisolibacter_tropicus	3
Methylomonas_sp._DH-1	3
Peribacillus_muralis	9
Thermococcus_piezophilus	1
Acinetobacter_sp._NCu2D-2	7
Pseudomonas_antarctica	6
Bacillus_sp._IHB_B_7164	14
Chryseobacterium_glaciei	7
Halotalea_alkalilenta	6
Streptomyces_sp._RTd22	6
Marinobacterium_aestuarii	6
Microbacterium_chocolatum	2
Ochrobactrum_pseudogrignonense	5
Lelliottia_amnigena	7
Shinella_sp._HZN7	3
Nocardioides_dokdonensis	3
Dokdonia_donghaensis	3
Mitsuaria_sp._7	2
Ralstonia_insidiosa	3
Niabella_ginsenosidivorans	2
Streptomyces_sp._SAT1	6
Mycolicibacterium_vaccae	2
Pseudomonas_sp._JY-Q	7
Pseudomonas_sp._DR_5-09	6
Pseudomonas_sp._GR_6-02	6
Sphingobium_sp._EP60837	2
Kosakonia_oryzae	5
Arachidicoccus_sp._BS20	1
Dietzia_timorensis	2
Streptomyces_parvulus	6
Agromyces_aureus	3
Pseudomonas_silesiensis	7
Croceicoccus_marinus	2
Altererythrobacter_ishigakiensis	1
Erythrobacter_neustonensis	2
Staphylococcus_sp._AntiMn-1	7
Lactobacillus_backii	5
Halothiobacillus_sp._LS2	2
Lactobacillus_curvatus	6
Rhizobium_sp._N1341	3
Rhizobium_sp._N731	3
Rhizobium_esperanzae	3
Rhizobium_sp._N1314	3
Rhizobium_sp._N621	3
Rhizobium_sp._N113	3
Rhizobium_sp._N6212	3
Rhizobium_sp._N324	3
Rhizobium_sp._N871	3
Rhizobium_sp._N741	3
Mesorhizobium_sp._AA22	2
Mesorhizobium_sp._WSM1497	2
Bordetella_bronchialis	3
Bordetella_flabilis	3
Mesorhizobium_loti	1.8
Vibrio_breoganii	9
Woeseia_oceani	1
Dermabacter_vaginalis	3
Cryobacterium_arcticum	3
Thermosipho_sp._1070	4
Flammeovirga_sp._MY04	8
Rhodococcus_sp._008	5
Streptomyces_lincolnensis	6
Paenibacillus_yonginensis	10
Serinicoccus_hydrothermalis	2
Salimicrobium_jeotgali	7
Vibrio_scophthalmi	11
Mesorhizobium_amorphae	2
Prosthecochloris_sp._CIB_2401	2
Yangia_sp._CCB-MM3	5
Campylobacter_hepaticus	3
Paraurantiacibacter_namhicola	1
Planococcus_antarcticus	9
Planococcus_halocryophilus	10
Planococcus_plakortidis	9
Planococcus_maritimus	9
Planococcus_donghaensis	11
Flavonifractor_plautii	2.5
Lachnoclostridium_sp._YL32	5
Bacteroides_caecimuris	5
Muribaculum_intestinale	4
Blautia_sp._YL58	5
Rhizobium_sp._S41	6
Synechococcus_sp._PCC_7003	2
Synechococcus_sp._PCC_7117	2
Synechococcus_sp._PCC_8807	2
Helicobacter_sp._MIT_01-6242	2
Bradyrhizobium_icense	1
Bradyrhizobium_paxllaeri	1
Streptomyces_clavuligerus	6
Acinetobacter_wuhouensis	7
Acinetobacter_sp._WCHAc010034	7
Wenyingzhuangia_fucanilytica	4
Immundisolibacter_cernigliae	1
Pseudonocardia_sp._HH130630-07	3
Leuconostoc_lactis	4
Bordetella_pseudohinzii	3
Tsuneonella_dongtanensis	1
Gordonia_terrae	3
Rhodococcus_sp._WB1	4
Stenotrophomonas_nitritireducens	4
Lentzea_guizhouensis	5
Cloacibacillus_porcorum	5
Lactobacillus_lindneri	7
Lactobacillus_paracollinoides	6
Brochothrix_thermosphacta	9
Carnobacterium_divergens	6
Pseudomonas_sp._TMW_2.1634	8
Acinetobacter_larvae	7
Stenotrophomonas_rhizophila	2.5
Streptomyces_sampsonii	7
Streptomyces_noursei	7
Bordetella_sp._H567	3
Acinetobacter_defluvii	7
Flavobacterium_anhuiense	4
Xanthomonas_fragariae	2
Pseudomonas_sp._BIOMIG1BAC	5
Streptococcus_himalayensis	4
Kangiella_sediminilitoris	2
Pseudomonas_corrugata	5
Pseudomonas_lurida	5
Pseudomonas_sp._TCU-HL1	5
Pantoea_agglomerans	7
Maize_bushy_stunt_phytoplasma	2
Methyloversatilis_sp._RAC08	2
Hydrogenophaga_sp._RAC07	2
Sinorhizobium_sp._RAC02	3
Sphingobium_sp._RAC03	3
Blastomonas_sp._RAC04	2
Bosea_sp._RAC05	2
Agrobacterium_sp._RAC06	3
Acidovorax_sp._RAC01	3
Brucella_sp._2002734562	3
Spiroplasma_helicoides	1
Dialister_pneumosintes	5
Tannerella_sp._oral_taxon_HOT-286	2
Propionibacterium_sp._oral_taxon_193	3
Selenomonas_sp._oral_taxon_920	4
Sphingomonas_panacis	3
Burkholderia_diffusa	6
Burkholderia_territorii	6
Burkholderia_pseudomultivorans	6
Burkholderia_seminalis	6
Burkholderia_metallica	6
Burkholderia_latens	6
Burkholderia_sp._Bp7605	4
Burkholderia_stagnalis	6
Enterobacter_sp._HK169	8
Sulfolobus_sp._A20	1
Bacillus_gibsonii	10
Bacillus_sp._FJAT-14266	12
Porphyrobacter_sp._LM_6	1
Cobetia_marina	7
Xenorhabdus_hominickii	7
Pedobacter_steynii	4
Bacillus_beveridgei	7
Sulfurospirillum_halorespirans	2
Leptospira_tipperaryensis	2
Brevibacterium_aurantiacum	4
Formosa_sp._Hel3_A1_48	2
Formosa_sp._Hel1_33_131	2
Clostridium_taeniosporum	7
Streptomyces_fodineus	6
Bosea_vaviloviae	2
Burkholderia_stabilis	6
Pectobacterium_wasabiae	7
Novosphingobium_resinovorum	3
Lacunisphaera_limnophila	1
Chlorobaculum_limnaeum	2
Actinoalloteichus_hymeniacidonis	3
Microbulbifer_aggregans	4
Exiguobacterium_sp._U13-1	9
Arthrobacter_sp._U41	5
Pseudoalteromonas_luteoviolacea	12
Geosporobacter_ferrireducens	11
Streptomyces_rubrolavendulae	6
Klebsiella_sp._LTGPAF-6F	8
Sporosarcina_ureilytica	9
Delftia_tsuruhatensis	5
Acidihalobacter_prosperus	1
Janthinobacterium_sp._HH102	8
Urechidicola_croceus	2
Sphingomonas_melonis	2
Polaribacter_vadi	3
Hydrogenophaga_crassostreae	2
Edwardsiella_hoshinae	8.5
Flavobacterium_gilvum	5
Weissella_soli	6
Acetobacter_ascendens	5
Moorea_producens	2
Corynebacterium_sp._NML98-0116	4
Pediococcus_acidilactici	5
Colwellia_sp._PAMC_20917	6
Halodesulfurarchaeum_formicicum	1
Streptomyces_olivaceus	6
Rhodococcus_sp._WMMA185	4
Kozakia_baliensis	5
Spiroplasma_sp._TU-14	1
Microbacterium_sp._BH-3-3-3	3
Stenotrophomonas_sp._LM091	3
Curtobacterium_sp._BH-2-1-1	3
Jeongeupia_sp._USM3	5
Bacillus_sp._RZ2MS9	14
Bacillus_sp._ABP14	13
Flavobacterium_crassostreae	7
Thalassotalea_crassostreae	6
Psychrobacter_sp._AntiMn-1	5
Marinobacter_salinus	3
Clostridium_formicaceticum	11
Candidatus_Rhodoluna_planktonica	1
Desulfococcus_multivorans	3
Cupriavidus_sp._USMAHM13	7
Cupriavidus_sp._USMAA2-4	7
Cupriavidus_malaysiensis	7
Arthrobacter_sp._ZXY-2	6
Methylobacterium_sp._C1	4
Hyphomonas_sp._Mor2	1
Chromobacterium_vaccinii	8
Rhodobacter_sp._LPB0142	3
Actinomyces_tangfeifanii	3
Bacillus_xiamenensis	8
Paenibacillus_crassostreae	10
Flavobacterium_commune	5
Butyrivibrio_hungatei	4
Paraburkholderia_sprentiae	7
Maribacter_sp._1_2014MBL_MicDiv	2
Janthinobacterium_sp._1_2014MBL_MicDiv	8
Myroides_sp._ZB35	9
Nocardia_seriolae	4
Anaerobacillus_isosaccharinicus	11
Candidatus_Nitrosocosmicus_hydrocola	2
Vagococcus_teuberi	6
Rhodobaca_barguzinensis	3
Providencia_rettgeri	7
Pseudomonas_frederiksbergensis	6.67
Clostridium_estertheticum	16
Virgibacillus_halodenitrificans	8
Francisella_sp._MA067296	3
Francisella_frigiditurris	3
Thermus_brockianus	2
Synechococcus_sp._SynAce01	2
Rhodococcus_sp._2G	4
Alteromonas_sp._RW2A1	5
Spiroplasma_sp._NBRC_100390	1
Mycobacterium_sp._WY10	2
Streptomyces_venezuelae	6.6
Halomonas_aestuarii	4
Delftia_sp._HK171	5
Aurantiacibacter_gangjinensis	1
Nocardia_mangyaensis	3
Sulfitobacter_sp._AM1-D1	2
Caldithrix_abyssi	1
Spiroplasma_citri	1
Neomicrococcus_aestuarii	3
Chelatococcus_daeguensis	2
Microbacterium_paludicola	2
Luteibacter_rhizovicinus	2
Pelobacter_sp._SFB93	3
Pelobacter_acetylenicus	4
Phaeobacter_porticola	4
Enterobacter_sp._SA187	7
Gramella_salexigens	3
Sphingopyxis_sp._LPB0140	2
Tenacibaculum_todarodis	3
Janibacter_indicus	2
Bacillus_weihaiensis	11
Microbacterium_sp._1.5R	2
Methanohalophilus_halophilus	1
Mesorhizobium_oceanicum	2
Tardibacter_chloracetimidivorans	2
Leuconostoc_suionicum	3.5
Francisella_uliginis	3
Marinilactibacillus_sp._15R	4
Virgibacillus_sp._6R	6
Bacillus_safensis	8
Bacillus_sp._H15-1	8
Mycoplasma_pullorum	2
Staphylococcus_succinus	6
Paenibacillus_xylanexedens	12
Rhizobium_gallicum	3
Xanthomonas_vesicatoria	2
Xanthomonas_hortorum	2
Marivivens_sp._JLT3646	3
Pseudomonas_psychrotolerans	5
Maribacter_sp._T28	3
Lactobacillus_parabuchneri	5
Thauera_chlorobenzoica	4
Paraburkholderia_sp._SOS3	4
Sphingomonas_koreensis	2
Minicystis_rosea	4
Streptomyces_sp._Tue_6075	6
Wolbachia_endosymbiont_of_Folsomia_candida	1
Acinetobacter_haemolyticus	6
Weissella_jogaejeotgali	8
Pectobacterium_brasiliense	7
Salegentibacter_sp._T436	3
Methylobacterium_phyllosphaerae	4
Lactobacillus_jensenii	4
Borrelia_mayonii	1
Amylolactobacillus_amylophilus	4
Thioclava_nitratireducens	3
Thermosipho_sp._1063	4
Corynebacterium_ammoniagenes	4
Corynebacterium_aquilae	4
Corynebacterium_flavescens	5
Corynebacterium_frankenforstense	4
Corynebacterium_sphenisci	3
Marinitoga_sp._1137	3
Corynebacterium_phocae	4
Actinoalloteichus_fjordicus	3
Actinoalloteichus_sp._GBA129-24	3
Massilia_putida	7
Streptomyces_sp._TN58	7
Pseudomonas_alcaliphila	4
Roseomonas_gilardii	5
Rhodococcus_sp._YL-1	4
Gramella_flava	3
Companilactobacillus_crustorum	4
Sphingobacterium_sp._B29	7
Salaquimonas_pukyongi	1
Halioglobus_pacificus	2
Dehalogenimonas_formicexedens	1
Acinetobacter_soli	7
Rhodoferax_koreense	3
Rhodoferax_saidenbachensis	2
Rhodoferax_antarcticus	3
Poseidonibacter_parvus	6
Paludisphaera_borealis	3
Arthrobacter_sp._QXT-31	6
Tateyamaria_omphalii	1
Salipiger_profundus	4
Brachybacterium_sp._P6-10-X1	3
Companilactobacillus_allii	4
Sphingomonas_sp._LK11	4
Brucella_sp._09RB8471	3
Halomonas_sp._1513	4
Haloterrigena_daqingensis	2
Winogradskyella_sp._J14-2	2
Lacinutrix_venerupis	2
Seonamhaeicola_sp._S2-3	2
Brucella_sp._09RB8910	3
Microbacterium_aurum	1
Streptomyces_alfalfae	6
Kosakonia_cowanii	7
Polaribacter_reichenbachii	3
Jeotgalibaca_sp._PTS2502	6
Pelagibaca_abyssi	2
Microbacterium_oleivorans	2
Fuerstia_marisgermanicae	2
Streptomyces_autolyticus	6
Halioglobus_japonicus	2
Rhodococcus_sp._MTM3W5.2	4
Sphingopyxis_sp._QXT-31	1
Enterobacter_chengduensis	8
Spirosoma_montaniterrae	3
Auricoccus_indicus	4
Halorientalis_sp._IM1011	2
Vibrio_kanaloae	14
Tessaracoccus_flavus	2
Tessaracoccus_aquimaris	1
Sedimentisphaera_cyanobacteriorum	3
Anaerostipes_hadrus	9
Leuconostoc_garlicum	4
Tessaracoccus_flavescens	2
Vagococcus_penaei	5
Bacillus_sp._275	9
Pseudoalteromonas_aliena	10
Labrenzia_aggregata	3
Planococcus_sp._Y42	9
Microbulbifer_agarilyticus	3
Limihaloglobus_sulfuriphilus	2
Helicobacter_bilis	2
Brevundimonas_sp._LM2	2
Janthinobacterium_sp._LM6	8
Aquaspirillum_sp._LM1	5
Sphingomonas_sp._LM7	2
Desulfotomaculum_ferrireducens	9
Novibacillus_thermophilus	4
Agrobacterium_rhizogenes	4
Streptomyces_pactum	6
Shewanella_psychrophila	9
Paenalcaligenes_hominis	3
Jeotgalibaca_dankookensis	6
Polaribacter_sp._BM10	6
Neoasaia_chiangmaiensis	4
Gluconobacter_albidus	5
Acetobacter_persici	4
Flavobacterium_sp._KBS0721	6
Bartonella_apis	2
Cellvibrio_sp._PSBB023	5
Anaerohalosphaera_lusitana	1
Streptomyces_sp._fd1-xmd	7
Micrococcus_sp._KBS0714	2
Streptomyces_niveus	6
Planococcus_faecalis	9
'Halomonas_sp._''Soap_Lake_#7'''	6
Komagataeibacter_nataicola	5
Campylobacter_pinnipediorum	3
Elizabethkingia_meningoseptica	4
Elizabethkingia_ursingii	5
Tessaracoccus_sp._T2.5-30	2
Bartonella_sp._A1379B	2
Bartonella_sp._WD16.2	2
Bartonella_sp._Raccoon60	3
Bartonella_sp._JB15	2
Bartonella_sp._JB63	2
Bacillus_flexus	11
Elizabethkingia_bruuniana	5
Pseudomonas_sp._CC6-YY-74	6
Citrobacter_werkmanii	8
Halolamina_sp._CBA1230	2
Ochrobactrum_pituitosum	5
Curtobacterium_pusillum	3
Chryseobacterium_indologenes	6
Herbaspirillum_robiniae	3
Pseudomonas_veronii	6
Streptomyces_sp._3211	7
Pseudomonas_sp._LPH1	4
Martelella_mediterranea	2
Pseudomonas_sp._S-6-2	3
Comamonas_kerstersii	5
Spirosoma_aerolatum	3
Nonomuraea_sp._ATCC_55076	5
Spirosoma_rigui	3
Alcanivorax_xenomutans	2
Yersinia_sp._FDAARGOS_228	7
Bacillus_sp._FDAARGOS_235	14
Streptococcus_equinus	6.71
Paracoccus_yeei	3
Neisseria_mucosa	4
Citrobacter_braakii	8
'Streptococcus_sp._''group_B'''	7
Streptococcus_sp._FDAARGOS_192	6
Rhodovulum_sp._MB263	3
Candidatus_Riesia_sp._GBBU	2
Frondihabitans_sp._762G35	2
Clostridium_argentinense	10
Lactobacillus_amylolyticus	5.5
Halomicronema_hongdechloris	2
Shewanella_japonica	8
Colwellia_beringensis	6
