	copy_number
Ligilactobacillus_salivarius	7
Francisella_tularensis	2.98
Staphylococcus_aureus	5.58
Dehalococcoides_mccartyi	1
Ralstonia_solanacearum	3.79
Nitrosomonas_europaea	1
Xanthomonas_euvesicatoria	2
Haloquadratum_walsbyi	2
Clostridioides_difficile	11.92
Cupriavidus_necator	5
Helicobacter_acinonychis	2
Yersinia_enterocolitica	7.2
Alcanivorax_borkumensis	3
Staphylococcus_carnosus	5.67
Burkholderia_cenocepacia	5.95
Streptococcus_uberis	5.5
Mesorhizobium_japonicum	2
Nostoc_sp._PCC_7120_=_FACHB-418	4
Synechocystis_sp._PCC_6803	2
Vibrio_vulnificus	10.5
Streptomyces_avermitilis	6
Geobacillus_kaustophilus	9
Nocardia_farcinica	3
Alkalihalobacillus_clausii	7
Staphylococcus_haemolyticus	5.5
Klebsiella_pneumoniae	7.99
Symbiobacterium_thermophilum	6
Bacteroides_fragilis	6
Chlamydia_felis	1
Thermococcus_kodakarensis	1
Magnetospirillum_magneticum	2
Limosilactobacillus_reuteri	5.84
Xanthomonas_oryzae	1.99
Desulfitobacterium_hafniense	5.5
Synechococcus_elongatus	2
Sodalis_glossinidius	7
Rhodococcus_erythropolis	4.83
Staphylococcus_saprophyticus	5.69
Limosilactobacillus_fermentum	4.8
Brevibacillus_brevis	14.2
Finegoldia_magna	4
Orientia_tsutsugamushi	1
Clostridium_kluyveri	7
Kocuria_rhizophila	3
Gemmatimonas_aurantiaca	1
Nitratiruptor_sp._SB155-2	3
Sulfurovum_sp._NBC37-1	3
Candidatus_Carsonella_ruddii	1
Candidatus_Vesicomyosocius_okutanii	1
Bifidobacterium_adolescentis	3.88
Azorhizobium_caulinodans	3
Burkholderia_multivorans	5.07
Macrococcus_caseolyticus	4.75
Microcystis_aeruginosa	2
Desulfovibrio_magneticus	3
Streptococcus_dysgalactiae	5.92
Azospirillum_lipoferum	9
Hydrogenobacter_thermophilus	1
Rhodococcus_opacus	4
Acetobacter_pasteurianus	4.86
Deferribacter_desulfuricans	2
Methanocella_paludicola	2
Rothia_mucilaginosa	3
Lacticaseibacillus_rhamnosus	5
Pyrococcus_horikoshii	1
Aeropyrum_pernix	1
Alkalihalobacillus_halodurans	8
Thermoplasma_volcanium	1
Sulfurisphaera_tokodaii	1
Mycoplasma_penetrans	1
Oceanobacillus_iheyensis	7.5
Corynebacterium_efficiens	5
Thermosynechococcus_elongatus	1
Bradyrhizobium_diazoefficiens	1
Gloeobacter_violaceus	1
Burkholderia_pseudomallei	4
Candidatus_Protochlamydia_amoebophila	3
Methanococcus_maripaludis	2.56
Pectobacterium_atrosepticum	7
Gluconobacter_oxydans	4.4
Burkholderia_mallei	3.96
